UA,品牌,型号
N5117,OPPO,N1 mini
NX601J,努比亚,X6
Redmi Note 7,小米,红米Note 7
OPPO R11,OPPO,R11
OPPO R9tm,OPPO,R9tm
vivo X21A,vivo,X21A
R7Plus,OPPO,R7 Plus
OPPO R11s,OPPO,R11s
BLA-AL00,华为,Mate10 Pro
Mi Note 3,小米,Note 3
FIG-AL10,华为,畅享7S
HUAWEI MLA-AL10,华为,麦芒5
VKY-AL00,华为,P10 Plus
DUK-AL20,华为,荣耀V9
COR-AL10,华为,荣耀Play
OPPO A37m,OPPO,A37m
OPPO A83,OPPO,A83
PRA-AL00,华为,荣耀8青春版
MYA-TL10,华为,荣耀畅玩6
PBEM00,OPPO,R17
OPPO R9sk,OPPO,R9sk
M5s,魅族,M5s
EVA-TL00,华为,P9
vivo Y85A,vivo,Y85A
OPPO A59s,OPPO,A59s
vivo Y71A,vivo,Y71A
vivo X20A,vivo,X20A
PADT00,OPPO,A3
vivo X6A,vivo,X6A
STF-AL10,华为,荣耀9
COR-TL10,华为,荣耀Play
OPPO R9m,OPPO,R9m
NX563J,努比亚,Z17
BLN-AL10,华为,荣耀畅玩6X
ONEPLUS A3000,一加,3
Le X620,乐视,2
HUAWEI CAZ-AL10,华为,nova
EML-AL00,华为,P20
V1818A,vivo,Y93
SM-A3009,三星,A3
PBET00,OPPO,R17
SKR-A0,小米,黑鲨游戏手机
vivo Y85,vivo,Y85
HWI-AL00,华为,nova 2s
M2,,
ivvi F1S,ivvi F1S,ivvi F1S
PBCM10,OPPO,15X
EVA-AL10,华为,P9
vivo Y79,vivo,Y79
m3 note,魅族,魅蓝3
PACM00,OPPO,R15
Redmi Note 4X,小米,红米Note 4X
A31,OPPO,A31
INE-AL00,华为,nova 3i
T03,长虹,T03
KOPO L7,酷珀,L7
Hisense F20T,海信,F20T
RNE-AL00,华为,麦芒6
vivo Y23L,vivo,Y23L
Coolpad B770,酷派,B700
vivo Y66L,vivo,Y66L
OPPO A37t,OPPO,A37t
OPPO A73,OPPO,A73
ZTE BV0720,中兴,Blade A2
M681C,魅族,note 3
Le X820,乐视,Max 2
vivo Y37,vivo,Y37
ONEPLUS A5010,一加,5T
V1732T,vivo,Y18s
UNNO E3,UNNO,E3
PRA-AL00X,华为,荣耀8青春版
OPPO R11 Plus,OPPO,R11 Plus
S03,长虹,S03
vivo X6Plus A,vivo,X6Plus A
T1-823L,华为,荣耀平板LTEban
vivo X7Plus,vivo,X7Plus
vivo Y79A,vivo,Y79A
OD105,锤子,坚果Pro
BLN-AL30,华为,荣耀畅玩6X
vivo NEX A,vivo,NEX A
TRT-AL00,华为,畅享7 Plus
OD103,锤子,坚果Pro
MI 8,小米,8
BLN-TL10,华为,畅玩6X
vivo X9s,vivo,X9s
vivo X21UD A,vivo,X21UD A
Redmi Note 5A,小米,红米Note 5A
DIG-AL00,华为,畅享6S
EYU T5S,亿优,T5S
vivo Y71,vivo,Y71
vivo Y55A,vivo,Y55A
vivo Y55,vivo,Y55
PIC-AL00,华为,nova 2
BAC-AL00,华为,nova 2 Plus
OPPO A79,OPPO,A79
TRT-TL10A,华为,畅享7 Plus
vivo X9s Plus,vivo,X9s Plus
JSN-AL00,华为,荣耀8X
VTR-AL00,华为,P10
vivo X6S A,vivo,X6S A
Redmi 5 Plus,小米,红米5 Plus
SM-G9500,三星,S8
SNE-AL00,华为,麦芒7
Coolpad 8690_T00,酷派,大神X7
OPPO A83t,OPPO,A83t
LON-AL00,华为,Mate9 Pro
AUM-AL00,华为,荣耀畅玩7A
Redmi 6 Pro,小米,红米6 Pro
vivo X9,vivo,X9
M836,中国移动,N2
vivo X20Plus A,vivo,X20Plus A
V1818CA,vivo,Y93s
LND-AL30,华为,荣耀畅玩7C
vivo X9s L,vivo,X9s L
ZTE BA601N,中兴,Blade A601
MIX 2S,小米,MIX 2s
OPPO R9s Plus,OPPO,R9s Plus
vivo Xplay5A,vivo,Xplay5A
vivo Y51A,vivo,Y51A
EYU T7,亿优,T7
SM-T355C,三星,GALAXY Tab A 8.0
vivo Y75,vivo,Y75
SM-A5009,三星,GALAXY A5
vivo Y75A,vivo,Y75A
V1809T,vivo,X23
Coolpad Y803-9,酷派,Y803-9
MI 8 SE,小米,8 SE
EDI-AL10,华为,荣耀Note 8
G0215D,格力,董小姐手机2
HUAWEI TIT-CL10,华为,畅享5
ATU-AL10,华为,畅享8e
PAR-AL00,华为,nova 3
GN8003,金立,M6
PBBM00,OPPO,A7x
M1813,魅族,V8
M5,魅族,魅蓝5
V1809A,vivo,X23
OPPO A57t,OPPO,A57t
vivo Y67L,vivo,Y67L
OPPO R11s Plus,OPPO,R11s Plus
MI 5X,小米,5X
1501-A02,360,F4
V1816A,vivo,X23
SM-G9350,三星,S7
OPPO R7sPlus,OPPO,R7s Plus
DUB-AL00,华为,畅享9
OPPO A59m,OPPO,A59m
Nokia X5,诺基亚,X5
RVL-AL09,华为,荣耀Note 10
MI 6,小米,6
vivo Y66,vivo,Y66
OPPO R9s,OPPO,R9s
Redmi 4A,小米,红米4A
vivo Z1,vivo,Z1
MIX 2,小米,MIX 2
M623C,中国移动,A1
PBAM00,OPPO,A5
Redmi 4,小米,红米4
SCL-TL00,华为,荣耀4A
SM-C7000,三星,GALAXY C700
MI 5s Plus,小米,5S Plus
CUN-AL00,华为,荣耀畅玩5
HUAWEI TAG-AL00,华为,畅享5s
OPPO R7s,OPPO,R7s
V1732A,vivo,Y81s
vivo X9i,vivo,X9i
ANE-AL00,华为,nova 3e
PBCM30,OPPO,K1
OPPO R9t,OPPO,R9t
LYA-AL00,华为,Mate 20 Pro
V1813A,vivo,Y97
SM-G9650,三星,GALAXY S9
vivo X9L,vivo,X9L
LDN-AL00,华为,畅享8
vivo X5S L,vivo,X5S L
SUGAR S,SUGAR,S
OPPO R7sm,OPPO,R7sm
M1 E,魅族,魅蓝E
PBFM00,OPPO,A7
Le X528,乐视,2
GN9010L,金立,GN9010L
Coolpad A8-930,酷派,峰尚Max
Le X621,乐视,2
vivo X9Plus,vivo,X9Plus
MHA-AL00,,
OPPO R11t,OPPO,R11t
vivo Y51,vivo,Y51
OPPO R11 Pluskt,OPPO,R11 Pluskt
SM-T713,三星,GALAXY Tab S2 8.0
CHM-UL00,,
COL-AL10,,
vivo Y55L,vivo,Y55L
OPPO A73t,OPPO,A73t
PCT-AL10,,
WP,,
BF T19,,
vivo Y83A,vivo,Y83A
vivo Y31A,vivo,Y31A
OPPO A57,OPPO,A57
SM-G7106,三星,GALAXY Grand 2
MI 5,小米,5
ChanghongS10,,
vivo Y67A,vivo,Y67A
x600,,
OPPO R7,OPPO,R7
KIW-AL10,,
R7Plusm,,
BLN-AL20,,
vivo X20,vivo,X20
TCL P590L,,
STF-AL00,,
OPPO R11st,OPPO,R11st
MI MAX,小米,MAX
PAAM00,,
OPPO A59st,OPPO,A59st
HUAWEI TIT-AL00,,
MIX 3,,
LYA-L29,,
LDN-AL20,,
KINGSUN-F3C,,
TRT-AL00A,,
HRY-AL00a,,
vivo X7,vivo,X7
vivo V3Max A,vivo,V3Max A
HTC U-3w,,
Redmi 4X,小米,红米4X
SM-T555C,三星,GALAXY Tab A 9.7
ALP-AL00,,
M654,,
OPPO A77t,OPPO,A77t
vivo Y83,vivo,Y83
1603-A03,,
OPPO R9st,OPPO,R9st
Coolpad 8675,酷派,大神F2
VTR-TL00,,
ONEPLUS A3010,一加,3T
Redmi Note 2,小米,红米Note 2
MI 6X,小米,6X
V1818CT,,
KNT-UL10,,
vivo Y13,vivo,Y13
OPPO R9 Plustm A,OPPO,R9 Plustm A
LND-AL40,,
XT1662,,
H5,,
vivo X710L,vivo,X710L
vivo Z1i,vivo,Z1i
Mi-4c,小米,4C
vivo Y15T,vivo,Y15T
V1731CA,,
OPPO R11s Plust,OPPO,R11s Plust
CHM-CL00,,
SM-J7109,三星,GALAXY J7
vivo Y66i A,vivo,Y66i A
G33,,
NEM-AL10,,
vivo X6D,vivo,X6D
Coolpad T2-00,酷派,峰尚Pro
PAAT00,,
BND-AL10,,
vivo Y67,vivo,Y67
V1730EA,,
HRY-AL00,,
HWI-TL00,,
GO C1,,
vivo V3L,vivo,V3L
Coolpad T2-C01,酷派,峰尚Pro
OPPO R9km,OPPO,R9km
MI 9,小米,9
MI 9 SE,小米,9 SE
M6 Note,,
GIONEE GN5007L,,
OPPO R11 Plusk,OPPO,R11 Plusk
CHE-TL00H,,
SM-G9600,三星,GALAXY S9
P98h(B4C7),,
MP1701,,
CLT-AL00,,
CLT-AL01,,
UOOGOU,,
Mi Note 2,小米,Note 2
OPPO A77,OPPO,A77
Letv X501,乐视,1S
A51,,
FLA-AL10,,
Redmi Note 3,小米,红米Note 3
ONEPLUS A6010,一加,6T
Redmi Note 5,小米,红米Note 5
V1816T,,
M3 Max,,
MP1602,,
BLN-AL40,,
TETC-H1,,
V1829A,,
TA-1000,,
GIONEE GN5007,,
vivo X9Plus L,vivo,X9Plus L
Letv X500,乐视,1S
HUAWEI CRR-UL00,,
KIW-TL00,,
Redmi 6,小米,红米6
OPPO A53,OPPO,A53
PADM00,,
FDR-A03L,,
HUAWEI TIT-TL00,,
OS105,,
GN9010,,
MI MAX 2,小米,MAX 2
V1818T,,
OPPO A33,OPPO,A33
Redmi 5,小米,红米5
LLD-AL30,,
MB200,,
NCE-AL10,,
HUAWEI M2-803L,,
vivo X5Pro D,vivo,X5Pro D
FRD-AL00,,
EYU T5,亿优,T5
BAC-TL00,,
NX549J,,
TNY-AL00,,
V1814A,,
M621C,,
Hisense E20T,,
PBBT30,,
PBAT00,,
Redmi Note 4,小米,红米Note 4
Philips_V787,,
HMA-AL00,,
PAFM00,,
FLA-TL10,,
BKL-AL00,,
HUAWEI NXT-AL10,,
HUAWEI MT7-TL00,,
ME525 ,,
vivo X6Plus D,vivo,X6Plus D
OPPO R9 Plusm A,OPPO,R9 Plusm A
MP1603,,
MX4,,
SOP-S9,,
GN3003,,
LLD-AL00,,
S9,,
M850A,,
